12TH AV 	200 - 299 	L ST - K ST 	Not Posted, NS Thu & SS Fri
RIVIERA DR 	3500 - 3599 	LA CIMA DR - LA MANCHA DR 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
RIVIERA DR 	3600 - 3699 	LA MANCHA DR - MOORLAND DR 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
RIVIERA DR 	3700 - 3799 	MOORLAND DR - LA PLAYA AV 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
RIVIERA DR 	3800 - 3899 	LA PLAYA AV - ROOSEVELT AV 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
RIVIERA DR 	3900 - 3929 	ROOSEVELT AV - GRAHAM ST 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
RIVIERA DR 	3930 - 3999 	GRAHAM ST - FORTUNA AV 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
RIVIERA DR 	4000 - 4099 	FORTUNA AV - PACIFIC BEACH DR 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
ROGERS ST 	3000 - 3099 	BEGIN - ARMADA TR 	Not Posted, Both Sides Even Month 4th Wed
ROMNEY RD 	2300 - 2451 	PENDLETON ST - SAN AQUARIO DR 	Not Posted, Both Sides Odd Month 3rd Wed
ROMNEY RD 	2452 - 2499 	SAN AQUARIO DR - PACIFICA DR 	Not Posted, Both Sides Odd Month 3rd Wed
ROOSEVELT AV 	1400 - 1499 	RIVIERA DR - HAINES ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
ROOSEVELT AV 	1700 - 1749 	JEWELL ST - SHASTA ST 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
ROOSEVELT AV 	1750 - 1799 	SHASTA ST - KENDALL ST 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
ROOSEVELT AV 	1800 - 1849 	KENDALL ST - SEQUOIA ST 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
ROOSEVELT AV 	1850 - 1899 	SEQUOIA ST - LAMONT ST 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
ROOSEVELT AV 	1900 - 1949 	LAMONT ST - CROWN POINT DR 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
ROSECRANS (FTG) ST 	0 - 3649 	ROSECRANS ST - SPORTS ARENA BL 	Not Posted, Both Sides Thu
ROSECRANS (FTG) ST 	0 - 3723 	SPORTS ARENA BL - ROSECRANS ST 	Not Posted, Both Sides Thu
ROSECRANS PL 	3000 - 3099 	ROSECRANS ST - CADIZ ST 	Not Posted, Both Sides Mon
ROSECRANS PL 	3100 - 3111 	CADIZ ST - HERMITAGE VIEW PL 	Not Posted, Both Sides Mon
ROSECRANS PL 	3240 - 3299 	NORTH EVERGREEN ST - END 	Not Posted, Both Sides Thu
ROSECRANS ST 	1000 - 1049 	TALBOT ST - UPSHUR ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	1050 - 1099 	UPSHUR ST - CANON ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	1100 - 1149 	CANON ST - AVNDA DE PORTUGAL 	Not Posted, Both Sides Thu
ROSECRANS ST 	1150 - 1199 	AVNDA DE PORTUGAL - BYRON ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	1200 - 1249 	BYRON ST - CARLETON ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	1250 - 1299 	CARLETON ST - DICKENS ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	1300 - 1349 	DICKENS ST - EMERSON ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	1350 - 1399 	EMERSON ST - FENELON ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	1400 - 1449 	FENELON ST - GARRISON ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	1450 - 1499 	GARRISON ST - HUGO ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	1500 - 1549 	HUGO ST - INGELOW ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	1550 - 1599 	INGELOW ST - JARVIS ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	1600 - 1649 	JARVIS ST - KEATS ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	1650 - 1699 	KEATS ST - NIMITZ BL 	Not Posted, Both Sides Thu
ROSECRANS ST 	1700 - 1749 	NIMITZ BL - MACAULAY ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	1750 - 1799 	MACAULAY ST - NEWELL ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	1800 - 1849 	NEWELL ST - OLIPHANT ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	1850 - 1899 	OLIPHANT ST - POE ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	1900 - 1949 	POE ST - QUIMBY ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	1950 - 1999 	QUIMBY ST - LANING RD 	Not Posted, Both Sides Thu
ROSECRANS ST 	200 - 349 	BEGIN - KELLOGG ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	2000 - 2049 	LANING RD - STERNE ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	2050 - 2099 	STERNE ST - TENNYSON ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	2100 - 2149 	TENNYSON ST - UDALL ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	2150 - 2199 	UDALL ST - FARRAGUT RD 	Not Posted, Both Sides Thu
ROSECRANS ST 	2200 - 2249 	FARRAGUT RD - WHITTIER ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	2250 - 2299 	WHITTIER ST - XENOPHON ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	2300 - 2349 	XENOPHON ST - YONGE ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	2350 - 2399 	YONGE ST - ZOLA ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	2400 - 2449 	ZOLA ST - ALCOTT ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	2450 - 2499 	ALCOTT ST - BROWNING ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	2500 - 2549 	BROWNING ST - CURTIS ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	2550 - 2599 	CURTIS ST - DUMAS ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	2600 - 2649 	DUMAS ST - ELLIOTT ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	2650 - 2699 	ELLIOTT ST - FREEMAN ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	2700 - 2749 	FREEMAN ST - GOLDSMITH ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	2750 - 2799 	GOLDSMITH ST - HOMER ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	2800 - 2849 	HOMER ST - IBSEN ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	2850 - 2899 	IBSEN ST - JAMES ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	2900 - 2949 	JAMES ST - KINGSLEY ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	2950 - 2999 	KINGSLEY ST - LYTTON ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	3000 - 3019 	LYTTON ST - ROSECRANS PL 	Not Posted, Both Sides Thu
ROSECRANS ST 	3020 - 3099 	ROSECRANS PL - MALAGA ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	3100 - 3199 	MALAGA ST - MADRID ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	3200 - 3249 	MADRID ST - NORTH EVERGREEN ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	3250 - 3339 	NORTH EVERGREEN ST - CAUBY ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	3340 - 3499 	CAUBY ST - MIDWAY DR 	Not Posted, Both Sides Thu
ROSECRANS ST 	350 - 399 	KELLOGG ST - LAWRENCE ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	3500 - 3629 	MIDWAY DR - ROSECRANS (FTG) ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	3630 - 3649 	ROSECRANS (FTG) ST - CAM DEL RIO WEST 	Not Posted, Both Sides Thu
ROSECRANS ST 	3650 - 3723 	CAM DEL RIO WEST - ROSECRANS (FTG) ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	3724 - 3749 	ROSECRANS (FTG) ST - KURTZ ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	3750 - 3799 	KURTZ ST - HANCOCK ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	3800 - 3849 	HANCOCK ST - MOORE ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	3850 - 3899 	MOORE ST - JEFFERSON ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	400 - 449 	LAWRENCE ST - MC CALL ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	450 - 499 	MC CALL ST - NICHOLS ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	500 - 549 	NICHOLS ST - OWEN ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	550 - 599 	OWEN ST - END 	Not Posted, Both Sides Thu
ROSECRANS ST 	600 - 649 	BEGIN - QUALTROUGH ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	650 - 829 	QUALTROUGH ST - KONA WY 	Not Posted, Both Sides Thu
ROSECRANS ST 	830 - 899 	KONA WY - BESSEMER ST 	Not Posted, Both Sides Thu
ROSECRANS ST 	900 - 999 	BESSEMER ST - TALBOT ST 	Not Posted, Both Sides Thu
ROSECROFT LN 	3600 - 3799 	SILVER GATE AV - CATALINA BL 	Not Posted, Both Sides Even Month 4th Wed
ROSEWOOD ST 	3000 - 3049 	MISSION BAY DR - DEL REY ST 	Not Posted, Both Sides Tue
RUBY ST 	5800 - 5899 	EUREKA ST - GOSHEN ST 	Not Posted, Both Sides Odd Month 1st Tue
RUE D ORLEANS 	3000 - 3101 	WEST POINT LOMA BL - ADRIAN ST 	Not Posted, Both Sides 2nd Wed
RUE D ORLEANS 	3050 - 3101 	ORLEANS EAST - WEST POINT LOMA BL 	Not Posted, Both Sides 2nd Wed
RUNNYMEAD LN 	900 - 950 	HARBOR VIEW DR - END 	Not Posted, Both Sides Even Month 4th Wed
RUSSELL ST 	3000 - 3099 	LANING RD - LOCUST ST 	Not Posted, Both Sides Even Month 4th Wed
RUSSELL ST 	3100 - 3199 	LOCUST ST - END 	Not Posted, Both Sides Even Month 4th Wed
RUSSELL ST 	3200 - 3299 	BEGIN - WILLOW ST 	Not Posted, Both Sides Even Month 4th Wed
RUSSELL ST 	3300 - 3399 	WILLOW ST - PLUM ST 	Not Posted, Both Sides Even Month 4th Wed
RUSSELL ST 	3400 - 3519 	PLUM ST - END 	Not Posted, Both Sides Even Month 4th Wed
SAN ANSELMO ST 	2500 - 2599 	SAN JOAQUIN DR - PACIFICA DR 	Not Posted, Both Sides Odd Month 3rd Wed
SAN ANTONIO AV 	200 - 349 	BEGIN - KELLOGG ST 	Not Posted, Both Sides Even Month 4th Wed
SAN ANTONIO AV 	350 - 399 	KELLOGG ST - LAWRENCE ST 	Not Posted, Both Sides Even Month 4th Wed
SAN ANTONIO AV 	400 - 449 	LAWRENCE ST - MC CALL ST 	Not Posted, Both Sides Even Month 4th Wed
SAN ANTONIO AV 	500 - 549 	BEGIN - OWEN ST 	Not Posted, Both Sides Even Month 4th Wed
SAN ANTONIO AV 	550 - 599 	OWEN ST - PERRY ST 	Not Posted, Both Sides Even Month 4th Wed
SAN ANTONIO AV 	600 - 625 	PERRY ST - NOREN PL 	Not Posted, Both Sides Even Month 4th Wed
SAN ANTONIO AV 	626 - 649 	NOREN PL - QUALTROUGH ST 	Not Posted, Both Sides Even Month 4th Wed
SAN ANTONIO AV 	650 - 686 	QUALTROUGH ST - END 	Not Posted, Both Sides Even Month 4th Wed
SAN ANTONIO PL 	800 - 899 	BEGIN - BESSEMER ST 	Not Posted, Both Sides Even Month 4th Wed
SAN AQUARIO DR 	5000 - 5199 	LORING ST - ROMNEY RD 	Not Posted, Both Sides Odd Month 3rd Wed
SAN CLEMENTE ST 	2100 - 2149 	TENNYSON ST - UDALL ST 	Not Posted, Both Sides Even Month 4th Wed
SAN CLEMENTE ST 	2150 - 2160 	UDALL ST - UDALL ST 	Not Posted, Both Sides Even Month 4th Wed
SAN CLEMENTE ST 	2161 - 2199 	UDALL ST - VOLTAIRE ST 	Not Posted, Both Sides Even Month 4th Wed
SAN ELIJO ST 	300 - 349 	JENKINS ST - KELLOGG ST 	Not Posted, Both Sides Even Month 4th Wed
SAN ELIJO ST 	350 - 399 	KELLOGG ST - LAWRENCE ST 	Not Posted, Both Sides Even Month 4th Wed
SAN ELIJO ST 	400 - 449 	LAWRENCE ST - MC CALL ST 	Not Posted, Both Sides Even Month 4th Wed
SAN ELIJO ST 	450 - 499 	MC CALL ST - NICHOLS ST 	Not Posted, Both Sides Even Month 4th Wed
SAN ELIJO ST 	500 - 549 	NICHOLS ST - OWEN ST 	Not Posted, Both Sides Even Month 4th Wed
SAN ELIJO ST 	550 - 599 	OWEN ST - QUALTROUGH ST 	Not Posted, Both Sides Even Month 4th Wed
SAN ELIJO ST 	600 - 699 	QUALTROUGH ST - ARMADA TR 	Not Posted, Both Sides Even Month 4th Wed
SAN FERNANDO PL 	700 - 709 	BEGIN - STRANDWAY 	Posted (8am - 10am), Both Sides Mon & Thu
SAN FERNANDO PL 	710 - 799 	STRANDWAY - MISSION BL 	Posted (8am - 10am), Both Sides Mon & Thu
SAN FERNANDO PL 	800 - 834 	MISSION BL - BAYSIDE LN 	Posted (8am - 10am), Both Sides Tue & Fri
SAN FERNANDO PL 	835 - 859 	BAYSIDE LN - END 	Posted (8am - 10am), Both Sides Tue & Fri
SAN FERNANDO ST 	300 - 309 	BEGIN - JENKINS ST 	Not Posted, Both Sides Even Month 4th Wed
SAN FERNANDO ST 	310 - 349 	JENKINS ST - KELLOGG ST 	Not Posted, Both Sides Even Month 4th Wed
SAN FERNANDO ST 	350 - 399 	KELLOGG ST - LAWRENCE ST 	Not Posted, Both Sides Even Month 4th Wed
SAN FERNANDO ST 	400 - 449 	LAWRENCE ST - MC CALL ST 	Not Posted, Both Sides Even Month 4th Wed
SAN FERNANDO ST 	450 - 499 	MC CALL ST - OWEN ST 	Not Posted, Both Sides Even Month 4th Wed
SAN FERNANDO ST 	500 - 599 	OWEN ST - PERRY ST 	Not Posted, Both Sides Even Month 4th Wed
SAN FERNANDO ST 	650 - 759 	QUALTROUGH ST - END 	Not Posted, Both Sides Even Month 4th Wed
SAN GORGONIO ST 	300 - 349 	BEGIN - KELLOGG DR 	Not Posted, Both Sides Even Month 4th Wed
SAN GORGONIO ST 	350 - 399 	KELLOGG DR - LA CRESCENTIA DR 	Not Posted, Both Sides Even Month 4th Wed
SAN GORGONIO ST 	400 - 449 	LA CRESCENTIA DR - MC CALL ST 	Not Posted, Both Sides Even Month 4th Wed
SAN GORGONIO ST 	450 - 569 	MC CALL ST - PERRY ST 	Not Posted, Both Sides Even Month 4th Wed
SAN GORGONIO ST 	570 - 669 	PERRY ST - END 	Not Posted, Both Sides Even Month 4th Wed
SAN JOAQUIN CT 	2500 - 2599 	SAN JOAQUIN DR - END 	Not Posted, Both Sides Odd Month 3rd Wed
SAN JOAQUIN DR 	4850 - 4869 	BERYL ST - SAN JOAQUIN CT 	Not Posted, Both Sides Odd Month 3rd Wed
SAN JOAQUIN DR 	4870 - 4899 	SAN JOAQUIN CT - ASTER ST 	Not Posted, Both Sides Odd Month 3rd Wed
SAN JOAQUIN DR 	4900 - 4949 	ASTER ST - SAN ANSELMO ST 	Not Posted, Both Sides Odd Month 3rd Wed
SAN JOAQUIN DR 	4950 - 4999 	SAN ANSELMO ST - LORING ST 	Not Posted, Both Sides Odd Month 3rd Wed
SAN JOAQUIN DR 	5000 - 5099 	LORING ST - END 	Not Posted, Both Sides Odd Month 3rd Wed
SAN REMO WY 	400 - 431 	BEGIN - LA CRESCENTIA DR 	Not Posted, Both Sides Even Month 4th Wed
SANTA BARBARA ST 	1000 - 1049 	CATALINA BL - TARENTO DR 	Not Posted, Both Sides Even Month 4th Wed
SANTA BARBARA ST 	1050 - 1069 	TARENTO DR - MOANA DR 	Not Posted, Both Sides Even Month 4th Wed
SANTA BARBARA ST 	1070 - 1099 	MOANA DR - ALEXANDRIA DR 	Not Posted, Both Sides Even Month 4th Wed
SANTA BARBARA ST 	1100 - 1199 	ALEXANDRIA DR - TRIESTE DR 	Not Posted, Both Sides Even Month 4th Wed
SANTA BARBARA ST 	1200 - 1249 	TRIESTE DR - NOVARA ST 	Not Posted, Both Sides Even Month 4th Wed
SANTA BARBARA ST 	1250 - 1299 	NOVARA ST - TIVOLI ST 	Not Posted, Both Sides Even Month 4th Wed
SANTA BARBARA ST 	1300 - 1349 	TIVOLI ST - ADAIR ST 	Not Posted, Both Sides Even Month 4th Wed
SANTA BARBARA ST 	1350 - 1399 	ADAIR ST - POINT LOMA AV 	Not Posted, Both Sides Even Month 4th Wed
SANTA BARBARA ST 	1400 - 1449 	POINT LOMA AV - BERMUDA AV 	Not Posted, Both Sides Even Month 4th Wed
SANTA BARBARA ST 	1450 - 1499 	BERMUDA AV - PESCADERO AV 	Not Posted, Both Sides Even Month 4th Wed
SANTA BARBARA ST 	1500 - 1549 	PESCADERO AV - ORCHARD AV 	Not Posted, Both Sides Even Month 4th Wed
SANTA BARBARA ST 	1550 - 1599 	ORCHARD AV - DEL MAR AV 	Not Posted, Both Sides Even Month 4th Wed
SANTA BARBARA ST 	1600 - 1649 	DEL MAR AV - CORONADO AV 	Not Posted, Both Sides Even Month 4th Wed
SANTA BARBARA ST 	1650 - 1699 	CORONADO AV - SANTA CRUZ AV 	Not Posted, Both Sides Even Month 4th Wed
SANTA BARBARA ST 	1700 - 1749 	SANTA CRUZ AV - DEL MONTE AV 	Not Posted, Both Sides Even Month 4th Wed
SANTA BARBARA ST 	1750 - 1799 	DEL MONTE AV - NARRAGANSETT AV 	Not Posted, Both Sides Even Month 4th Wed
SANTA BARBARA ST 	1800 - 1849 	NARRAGANSETT AV - NIAGARA AV 	Not Posted, Both Sides Even Month 4th Wed
SANTA BARBARA ST 	1850 - 1899 	NIAGARA AV - NEWPORT AV 	Not Posted, Both Sides Even Month 4th Wed
SANTA BARBARA ST 	1900 - 1949 	NEWPORT AV - SANTA MONICA AV 	Not Posted, Both Sides Even Month 4th Wed
SANTA BARBARA ST 	1950 - 1999 	SANTA MONICA AV - SARATOGA AV 	Not Posted, Both Sides Even Month 4th Wed
SANTA BARBARA ST 	2000 - 2049 	SARATOGA AV - CAPE MAY AV 	Not Posted, Both Sides Even Month 4th Wed
SANTA CRUZ AV 	3850 - 3999 	BEGIN - REDONDO ST 	Not Posted, Both Sides Even Month 4th Wed
SANTA CRUZ AV 	4000 - 4099 	REDONDO ST - CATALINA BL 	Not Posted, Both Sides Even Month 4th Wed
SANTA CRUZ AV 	4100 - 4299 	CATALINA BL - VENICE ST 	Not Posted, Both Sides Even Month 4th Wed
SANTA CRUZ AV 	4300 - 4399 	VENICE ST - SANTA BARBARA ST 	Not Posted, Both Sides Even Month 4th Wed
SANTA CRUZ AV 	4400 - 4489 	SANTA BARBARA ST - GUIZOT ST 	Not Posted, Both Sides Even Month 4th Wed
SANTA CRUZ AV 	4490 - 4499 	GUIZOT ST - GUIZOT ST 	Not Posted, Both Sides Even Month 4th Wed
SANTA CRUZ AV 	4500 - 4599 	GUIZOT ST - FROUDE ST 	Not Posted, Both Sides 1st Wed
SANTA CRUZ AV 	4600 - 4699 	FROUDE ST - EBERS ST 	Not Posted, Both Sides 1st Wed
SANTA CRUZ AV 	4700 - 4799 	EBERS ST - SUNSET CLIFFS BL 	Not Posted, Both Sides 1st Wed
SANTA CRUZ AV 	4800 - 4899 	SUNSET CLIFFS BL - CABLE ST 	Not Posted, Both Sides 1st Wed
SANTA CRUZ AV 	4900 - 4999 	CABLE ST - BACON ST 	Not Posted, Both Sides 1st Wed
SANTA FE ST 	4790 - 6399 	DAMON AV - END 	Not Posted, Both Sides Tue
SANTA MONICA AV 	4300 - 4399 	VENICE ST - SANTA BARBARA ST 	Not Posted, Both Sides Even Month 4th Wed
SANTA MONICA AV 	4400 - 4499 	SANTA BARBARA ST - GUIZOT ST 	Not Posted, Both Sides Even Month 4th Wed
SANTA MONICA AV 	4500 - 4599 	GUIZOT ST - FROUDE ST 	Not Posted, Both Sides 1st Wed
SANTA MONICA AV 	4600 - 4699 	FROUDE ST - EBERS ST 	Not Posted, Both Sides 1st Wed
SANTA MONICA AV 	4700 - 4799 	EBERS ST - SUNSET CLIFFS BL 	Not Posted, Both Sides 1st Wed
SANTA MONICA AV 	4800 - 4899 	SUNSET CLIFFS BL - CABLE ST 	Posted (2am - 6am), Both Sides Mon & Thu
SANTA MONICA AV 	4900 - 4999 	CABLE ST - BACON ST 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
SANTA MONICA AV 	5000 - 5099 	BACON ST - ABBOTT ST 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
SAPPHIRE ST 	1000 - 1099 	CASS ST - DAWES ST 	Posted (10am - 1pm), NS 1st Wed, SS 1st Thur
SAPPHIRE ST 	1100 - 1199 	DAWES ST - END 	Posted (10am - 1pm), NS 1st Wed, SS 1st Thur
SAPPHIRE ST 	700 - 799 	LA JOLLA BL - MISSION BL 	Not Posted, Both Sides Odd Month 3rd Wed
SAPPHIRE ST 	800 - 899 	MISSION BL - BAYARD ST 	Posted (10am - 1pm), NS 1st Wed, SS 1st Thur
SAPPHIRE ST 	900 - 999 	BAYARD ST - CASS ST 	Posted (10am - 1pm), NS 1st Wed, SS 1st Thur
SARATOGA AV 	4300 - 4399 	VENICE ST - SANTA BARBARA ST 	Not Posted, Both Sides Even Month 4th Wed
SARATOGA AV 	4400 - 4499 	SANTA BARBARA ST - GUIZOT ST 	Not Posted, Both Sides Even Month 4th Wed
SARATOGA AV 	4500 - 4599 	GUIZOT ST - FROUDE ST 	Not Posted, Both Sides 1st Wed
SARATOGA AV 	4600 - 4699 	FROUDE ST - EBERS ST 	Not Posted, Both Sides 1st Wed
SARATOGA AV 	4700 - 4799 	EBERS ST - SUNSET CLIFFS BL 	Not Posted, Both Sides 1st Wed
SARATOGA AV 	4800 - 4899 	SUNSET CLIFFS BL - CABLE ST 	Not Posted, Both Sides 1st Wed
SARATOGA AV 	4900 - 4999 	CABLE ST - BACON ST 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
SARATOGA AV 	5000 - 5099 	BACON ST - ABBOTT ST 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
SARATOGA AV 	5100 - 5149 	ABBOTT ST - END 	Posted (7am - 10am), NS Wed, SS Fri
SASSAFRAS ST 	1500 - 1599 	INDIA ST - KETTNER BL 	Not Posted, Both Sides Fri
SASSAFRAS ST 	1600 - 1799 	KETTNER BL - PACIFIC HY 	Not Posted, Both Sides Fri
SAVANNAH ST 	4800 - 4899 	BEGIN - VEGA ST 	Not Posted, Both Sides Odd Month 1st Tue
SAVANNAH ST 	4900 - 4999 	VEGA ST - MORENA BL 	Not Posted, Both Sides Odd Month 1st Tue
SAVANNAH ST 	5000 - 5099 	DORCAS ST - BUENOS AV 	Not Posted, Both Sides Odd Month 1st Tue
SAVANNAH ST 	5100 - 5199 	BUENOS AV - CUSHMAN AV 	Not Posted, Both Sides Odd Month 1st Tue
SAVOY CR 	1400 - 1469 	POINT LOMA AV - BERMUDA CR 	Not Posted, Both Sides Even Month 4th Wed
SAVOY CR 	1470 - 1479 	BERMUDA CR - PESCADERO AV 	Not Posted, Both Sides Even Month 4th Wed
SAVOY CR 	1480 - 1499 	PESCADERO AV - VENICE ST 	Not Posted, Both Sides Even Month 4th Wed
SAVOY ST 	1000 - 1059 	CATALINA BL - TARENTO DR 	Not Posted, Both Sides Even Month 1st Wed
SAVOY ST 	1060 - 1099 	TARENTO DR - VARONA ST 	Not Posted, Both Sides Even Month 1st Wed
SAVOY ST 	1100 - 1199 	VARONA ST - LA PALOMA ST 	Not Posted, Both Sides Even Month 1st Wed
SAVOY ST 	1200 - 1299 	LA PALOMA ST - POINT LOMA AV 	Not Posted, Both Sides Even Month 1st Wed
SAVOY ST 	500 - 599 	GARDEN LN - DUPONT ST 	Not Posted, Both Sides Even Month 1st Wed
SAVOY ST 	600 - 699 	DUPONT ST - TARENTO DR 	Not Posted, Both Sides Even Month 1st Wed
SCOTT ST 	1000 - 1049 	TALBOT ST - UPSHUR ST 	Not Posted, Both Sides Thu
SCOTT ST 	1050 - 1099 	UPSHUR ST - CANON ST 	Not Posted, Both Sides Thu
SCOTT ST 	1100 - 1149 	CANON ST - AVNDA DE PORTUGAL 	Not Posted, Both Sides Thu
SCOTT ST 	1150 - 1199 	AVNDA DE PORTUGAL - SHELTER ISLAND DR 	Not Posted, Both Sides Thu
SCOTT ST 	1200 - 1249 	SHELTER ISLAND DR - CARLETON ST 	Not Posted, Both Sides Thu
SCOTT ST 	1250 - 1299 	CARLETON ST - DICKENS ST 	Not Posted, Both Sides Thu
SCOTT ST 	1300 - 1349 	DICKENS ST - EMERSON ST 	Not Posted, Both Sides Thu
SCOTT ST 	1350 - 1399 	EMERSON ST - FENELON ST 	Not Posted, Both Sides Thu
SCOTT ST 	1400 - 1449 	FENELON ST - GARRISON ST 	Not Posted, Both Sides Thu
SCOTT ST 	1450 - 1473 	GARRISON ST - N HARBOR DR RA 	Not Posted, Both Sides Thu
SCOTT ST 	1474 - 1499 	N HARBOR DR RA - NORTH HARBOR DR 	Not Posted, Both Sides Thu
SCOTT ST 	1500 - 1549 	NORTH HARBOR DR - INGELOW ST 	Not Posted, Both Sides Thu
SCOTT ST 	1550 - 1599 	INGELOW ST - JARVIS ST 	Not Posted, Both Sides Thu
SCOTT ST 	1600 - 1649 	JARVIS ST - KEATS ST 	Not Posted, Both Sides Thu
SCOTT ST 	1650 - 1699 	KEATS ST - NIMITZ BL 	Not Posted, Both Sides Thu
SCOTT ST 	900 - 999 	BESSEMER ST - TALBOT ST 	Not Posted, Both Sides Even Month 4th Wed
SEA COLONY CT 	2200 - 2249 	VOLTAIRE ST - CAMTO PAJARITO 	Not Posted, Both Sides Odd Month 1st Wed
SEA WORLD DR 	100 - 143 	SUNSET CLIFFS BL - W MISSION BAY DR RA 	Not Posted, Both Sides Fri
SEA WORLD DR 	1100 - 1299 	EAST MISSION BAY DR - TECOLOTE RD 	Not Posted, Both Sides Fri
SEA WORLD DR 	144 - 159 	W MISSION BAY DR RA - SEA WORLD DR RA 	Not Posted, Both Sides Fri
SEA WORLD DR 	160 - 199 	SEA WORLD DR RA - WEST MISSION BAY DR 	Not Posted, Both Sides Fri
SEA WORLD DR 	200 - 249 	WEST MISSION BAY DR - W MISSION BAY DR RA 	Not Posted, Both Sides Fri
SEA WORLD DR 	250 - 269 	W MISSION BAY DR RA - W MISSION BAY DR RA 	Not Posted, Both Sides Fri
SEA WORLD DR 	270 - 289 	W MISSION BAY DR RA - SEA WORLD DR RA 	Not Posted, Both Sides Fri
SEA WORLD DR 	290 - 399 	SEA WORLD DR RA - PEREZ COVE WY 	Not Posted, Both Sides Mon
SEA WORLD DR 	400 - 899 	PEREZ COVE WY - FRIARS RD 	Not Posted, Both Sides Mon
SEA WORLD DR 	900 - 1099 	FRIARS RD - EAST MISSION BAY DR 	Not Posted, Both Sides Mon
SEA WORLD DR RA 	0 - 0 	W MISSION BAY DR RA - SEA WORLD DR 	Not Posted, Both Sides Fri
SEA WORLD DR RA 	0 - 0 	WEST MISSION BAY DR - SEA WORLD DR 	Not Posted, Both Sides Fri
SEASIDE ST 	2200 - 2299 	VOLTAIRE ST - GREENE ST 	Not Posted, Both Sides 1st Wed
